Sentence,Hyperbole,Metaphor
"Nov. 22 marks the 25th anniversary of the Kennedy assassination , and , all month long , the airwaves will be flooded with JFK retrospectives , JFK analyses , JFK assassination theories",1,0
"If widespread window dressing is occurring , then last week 's rally and any upward move in prices this week could easily evaporate after the end of the quarter",1,0
Doves plow a little money into a pet project each time they slash the budget,1,0
"Airlines say they have lessened the risk by focusing increases on business fliers , who often must fly at any price",1,0
Shares of the Chicago - based food company rode a roller coaster in heavy trading yesterday,1,0
Plus a man who once ate an entire plane piece by piece,1,0
"What seems to escape him is that the central value of the free market is that it is inextricably intertwined with human freedom , both spiritually and materially",1,0
The guerrillas claim they killed 35 Angolans and 15 Cubans,1,1
The agreement should knock out one leg of this stool,1,0
"With the stock now trading in the low 80s , he wonders whether investors might have benefited more using the money in another investment rather than riding the roller coaster",1,0
"Last year , the NRA ran a newspaper ad featuring a harrowing photo of a frightened woman and asserting that a 20 - year - old American woman has a 72 % chance of being raped , robbed or assaulted in her lifetime",1,0
"But the rally quickly evaporated , leaving bonds at about the same levels as Tuesday",1,0
"Asked why he does n't trust the Sandinistas , he snaps , `` I do n't even have confidence in my own commandos , because any day they might kill me .",1,0
"Nothing dates faster than a business book because trends change , statistics lose meaning , companies get liquidated , executives get the ax , and people die",1,0
"The trade figures and base rate rise `` knocked the stuffing out of us and shattered any sort of confidence that had been creeping into the market , '' said one equity salesman , calling the day `` a bloodbath .",1,0
"George A. Christie , vice president and chief economist of F.W. Dodge , said , `` The export boom which is pumping up the 1988 economy is n't much help to the construction industry , and could even prove troublesome",1,1
"`` We 've tried to set up a barrier against such people , '' says an official at one institute that has been flooded with applications",1,0
"Takeover bids for Macmillan and others have fixed traders ' attention on the new game in international media , which is to pay premium prices for proprietary data bases and publishing assets",1,0
"The hug knocked off Spinks 's hat , a broad - brimmed , white number",1,0
They remember the last time the Nigerian Stock Exchange was so interested in foreign investors - - during the `` indigenization '' drives of the 1970s when they were all kicked out of the country,1,1
"Justice Abrams , so viciously attacked by Mr. Cooper , was earlier a hard - nosed career prosecutor",1,0
"One reason there 's room for more magazines is because so many die , industry officials say",1,0
"Schieffelin & Somerset Co. is beginning a boldly different , big - budget advertising campaign that it hopes will persuade more baby boomers to drink its Johnnie Walker Scotch whisky brands",1,0
"Some of the exiles turned to drink or just died , of homesickness really .",1,0
"In return it got to shape the festivities , glamorizing things with a sprinkling of film and rock music personalities - LRB - Jane Seymour , Pierce Brosnan and Ringo Starr supplied this year 's dazzle - RRB - and flying in a roster of writers and photographers for publicity",1,1
"With so many people earning free tickets so easily , the market is flooded with coupons , depressing their value",1,0
"`` Heineken has been hurt seriously since it became fashionable to drink Corona , '' says Frank Walters , research director for the liquor industry newsletter Impact",1,0
Iraqi leaders greeted the cease - fire by flooding local shops with goods they had been saving in warehouses for years to reward their 16 million people,1,0
But nobody is letting any hopes ride on the wings of the Trump Shuttle,1,0
"Not surprisingly , Helsinki is most appealing when things are kept Finnish , be it architecture , artifacts or sailors . - LRB - Finnish sailors , who train on one of Helsinki 's bucolic islands , sport blond hair , tans and jaunty white caps that look like flying saucers. - RRB - / - RRB -",1,1
But the resolution probably rests more on politics than on flying skill and commercial expertise,1,0
"Indeed , these deficits have accumulated year by year until the gross public debt is now $ 2.5 trillion , a figure so big nobody can grasp it",1,0
"Trading volume often evaporates just ahead of the monthly employment statistics , which are exceptionally difficult to predict",1,0
"It 's been strength against strength , and the oil companies have consistently struck out",1,0
"In 1813 , a Welsh missionary named Thomas Jones stumbled across the hills into Meghalaya and began pushing the native Khasis , who today make up half the population , along the rocky path toward modernization and Christianity",1,0
"`` It 's very rare for someone to die without any heirs at all , '' said Debbi Zummoff , legal counsel for Keane Tracers Inc . , another shareholder - search firm",1,0
"`` Real men , '' Mr. Holley says , `` do drink beer without alcohol .",1,0
"In 1962 , when a fierce drought withered even the thorn trees , he sold his emaciated camels and moved , along with many others , to Tamanrasset",1,0
"`` Because the ground had long since been plowed and planted , '' he writes , `` the harvest of disunion came quickly after the thunderstorm of Lincoln 's election .",1,0
"He took his region 's United Parcel Service workers out on strike to protest their 1976 contract , a move that , for the Teamsters , `` is like flying to the moon , '' according to Mr. Paff",1,1
"The Washington - based NASD , which runs the Nasdaq , its automated quotations , over - the - counter stock market , was flooded with phone calls about its new requirement that any firm dealing in low - priced or lightly traded stocks quoted in the Pink Sheets report volume and price data in issues in which its aggregate activity exceeds 50 , 000 shares or $ 10 , 000",1,0
"The agreement appears to allow Wilson , a pork processor and producer , to escape the clutches of Doskocil Cos . , a Hutchinson , Kan . , maker of pizza toppings that has waged an aggressive takeover battle",1,0
Weyerhaeuser Co. said it has budgeted an extra $ 1 million to replace seedlings that may die,1,0
"Thus , Forbes Inc. does n't try to stop Chairman Malcolm Forbes from ballooning or riding motorcycles despite the dangers",1,0
Flying to Slovenia from the Yugoslav south is n't unlike flying to the Midwest from the Mideast,1,0
"The spacecraft 's cost of at least $ 25 billion has made it a fat target for budget cutters , who nearly killed the program this summer",1,1
"It rained hard Saturday night along the Gulf Coast , and on Sunday morning the infield at McKechnie Field here was so wet that grounds crewmen were using plastic bottles to scoop up the standing water",1,0
"A `` guide to business technique , '' yes ; the `` autobiography '' of a tycoon , sure ; a volume of `` management tips , '' you bet ; but to hear the publishing world tell it , the vulgar GRQ book is a thing of the past , having vaporized like those screwy financial schemes cooked up by the likes of Ralph Kramden and Ed Norton",1,1
"Mr. Borge ridicules anti - government marchers and muses about establishing a `` museum of political parties '' to show future generations what some of the more - conservative groups were like , since he expects them to wither under the forces of history",1,0
His theory of deficit reduction rests largely on the premise that the nation can grow its way out of the hole,1,0
"Says Charles Fuhrmann , a Merrill Lynch Capital Markets managing director , `` This year we missed the greedseekers and tourists .",1,0
"If he and the Senate differ sharply on the answers , the treaties probably will die in the Senate , and the setback to U.S.Soviet relations will be severe",1,0
Some mines were planted by the U.S. - backed guerrillas themselves,1,1
"CBS and its affiliates were flooded with phone calls , mostly critical of Rather , following the interview",1,0
"Mostly , the controversy leaves a black hole in the Hispanic political firmament that wo n't be filled for some time",1,0
"Mr. Pickens was badly beaten in last fall 's battle for Newmont Mining , a raid that baffled takeover experts because 26 % of Newmont was already controlled by the ultimate victor , Consolidated Gold Fields PLC. Mesa 's $ 100 million stock profit from the deal - - Mr. Pickens 's estimate - - also evaporated during October 's market crash",1,0
"Shortly afterward , Bob Adams Inc. in Boston flooded 21 universities nationwide with 10 , 000 copies of its annual two bits of advice , a publication called `` Careers and the M.B.A .",1,1
Lesley Stahl called him `` the vice presidential pick that ate the Republican convention .,1,0
Coke is even directly attacking coffee 's breakfast appeal with radio ads urging people to drink something cold to come `` alive in the morning .,1,0
His public - relations people have flooded reporters with copies of his speeches,1,1
"Jack Scowen , a Conservative member of parliament from northern Saskatchewan , said that `` unless somebody wants to stir up a bunch of garbage , '' the language issue should be `` left to die .",1,0
"`` The risk is , business will melt away .",1,1
The glutted oil market could soon be flooded with even more Persian Gulf crude,1,0
"`` Accountants , '' he ventures , `` are so boring that if they were drowning and their whole life flashed before them , they 'd probably fall asleep .",1,0
Boxers have been known to die as a result of blows expertly inflicted during a fight,1,0
"Meetings degenerated into shouting matches ; after one , a copywriter kicked a hole in a wall",1,0
"In one ad , a seductive woman , who personifies cocaine , asks a young man if he 's willing to die for her",1,1
"Since the spots ran last year , there have been a flood of requests for the `` room where Tom Bodett slept .",1,1
"But Korea 's booming economy can absorb them , economists say",1,0
A 900 phone number set up by DC in September enabled a small group of hard - core fans to vote on whether Robin should live or die,1,0
Analysts said yesterday 's decline was due largely to technical factors that have temporarily flooded the banking system with reserves,1,0
"Cancellations flooded in , slashing expected revenues by $ 300 , 000 over the December Jewish holiday of Hanukkah alone",1,1
"He said that in the wake of the airliner incident , U.S. intelligence agencies have been flooded with warnings , many of them of questionable reliability , of possible Iranian - sponsored attacks",1,0
"As Eliot wrote: `` In a warm haze , the sultry light is absorbed , not refracted , by grey stone . . . . '' and flowers do indeed `` sleep in empty silence .",1,0
"`` However , there comes the time with the terminally ill or irreversibly comatose patient that the physician must step back and , at the patient 's or the family 's request , allow the patient to die with dignity .",1,0
"Ronald Simmons , the board 's president , said the meeting was scheduled because the board has been `` flooded with phone calls '' for several weeks about rumors of a sweeping IBM cut of the Boca Raton work force",1,0
"Still , they did n't go quite as far as one Himalayan bear - - it ate the camera",1,0
"Civilians die , and the population turns against the mujahedeen",1,0
"Some analysts are pouring cold water on speculation that Robert Maxwell , whose $ 2.6 billion offer for Macmillan was rebuffed Wednesday , might go after Dun & Bradstreet , whose takeover value was recently estimated by Bear Stearns to be as high as $ 15.8 billion , or almost $ 85 a share",1,0
"It is a world in which everyone plagiarizes , but some prosper while others stumble",1,0
"Mr. Berreth , a tall muscular man and mechanical engineer , figures factories have to adapt or die",1,1
"Now her family eats just one meal a day , on a new diet of chicken heads and feet , plus coffee and bread in the morning `` to fool the stomach , '' she says",1,0
"Recession fears have all but evaporated , at least for this year , and most economists expect further moderate growth",1,0
"Should he die soon , the debate would be further sidetracked",1,0
Weak cows have bogged down in muddy ponds and died and some ranchers are burning the thorns off prickly pear cactus to give starving cattle something to eat,1,0
"When the London market opened itself to all comers in late 1986 , says R. Keith Williams , an associate at accountants Peat Marwick in London , financial institutions `` flooded in and bought everything under the sun without really knowing why .",1,1
"Mr. Sears envisions an ad he says the Democrats could and should have used , taking the administration to task for accepting a nation in which homeless men and women sleep on grates",1,1
"Whatever the case , `` there 's been a tremendous amount of new investment pouring into our market , '' said Jonathan Kolatch , a vice president in the high - yield bond group at Goldman , Sachs & Co. Martin S. Fridson , a principal at Morgan Stanley & Co. and manager of credit research , agrees: `` There 's a greater universe of institutions buying junk bonds now .",1,0
"`` The hot weather just about melted him away , '' Mr. Corbett says with a sigh",1,1
Mr. Linda was lucky ; he escaped with his life,1,0
"Pitching a baseball , it was agreed , is akin to striking a golf ball in that it is a complex act that only looks simple",1,0
"If just one of the three old liberals were to die or retire , President Bush could finish what President Reagan started",1,0
"India has a population of 800 million people , and Indians drink about 2.4 billion bottles of name - brand soft drinks a year",0,1
"The U.S. is stumbling toward another energy crisis thanks to public policies that discourage utilities from investing in new electric generating facilities , particularly nuclear ones",0,1
"A merger , though , would lay the matter to rest",0,1
"The offers touched 17 dollars a share , twice the market value then , but the Keswicks did n't budge",0,1
"The opening salvo came on Memorial Day , when the Guard kicked off a celebration of its 75th year at Camp Grayling",0,1
"For off - duty shifts , the Air Force is starting to build concrete dugouts for about 80 persons , where one takes off the chem suit and rests on a cot",0,1
"To escape a heavy debt burden and to finance an ambitious movie schedule , cash - starved MGM UA Communications Co. is expected to sell off its Metro - Goldwyn - Mayer Pictures unit to three investors and the public , industry people said",0,1
`` The other option is that the authorities will have to cool off the economy .,0,1
"`` We are stuck in leases and we 've built up a following ; so , we might as well stay in business selling clothes .",0,1
"But , the other panelists say , the Democrats ca n't just sit around waiting for the Republicans to stumble",0,1
"Given a choice between two such frail reeds , Western Europe , led by West Germany , is likely to grasp at the chimera of Soviet good will rather than risk relying on increasingly remote and dubious American protection",0,1
"The candidates will step up and swing at the fast ones , pitchouts and curves tossed by Ann Compton of ABC News , Andrea Mitchell of NBC News and Margaret Warner of Newsweek",0,1
"In an interview yesterday , he said , `` We ought to start examining which countries are n't going to pay us back and cut them off .",0,1
"As for spring wheat , virtually all of this year 's crop was planted by mid - May , the department said",0,1
The agreeable process of bringing money in and out with monthly returns as high as 8 % became affectionately known as `` riding the bicycle .,0,1
"`` I 'd heard about Powelson from another classicist at the University of Maryland , and then Powelson began to besiege me with letters asking for an invitation , '' Mr. Ambrose says",0,1
"Koos de Jong , who oversees the government 's collection of 360 , 000 works of art , said he discovered the pieces were missing when he took an inventory recently",0,1
"GM 's sales were apparently dragged down by a lackluster performance at its Chevrolet division , which saw sales drop 6 %",0,1
The administration 's efforts to smooth out problems on the U.S. - Canada pact increase the chances that Congress will approve the accord,0,1
But really it is the day that all four Tyrones come face to face with the ghosts that have haunted them and the demons that have nearly destroyed them,0,1
"After finishing a respectable second in New Hampshire , the campaign stumbled south to Super Tuesday badly strapped for cash",0,1
"The Suez group has said it will dissolve the Belgian company 's current 23 - member board and create a two - tier management , with a chief executive running day - to - day operations and a management committee that defines strategy",0,1
"The ball has rolled away , just when he thought he had it in hand",0,1
`` I 'm going to sleep on it .,0,1
The bill admits that the key to winning the drug war is assaulting the demand side,0,1
"Kubota Ltd . , for example , has poured about $ 75 million into some of Silicon Valley 's hottest companies , including MIPS Computer Systems and Ardent Computer",0,1
"At the same time , the quest for distinction increasingly includes details - - some of which may escape the average driver",0,1
"He did , however , get McGwire to pop out with two out and the bases loaded in the eighth , and he struck out the mighty Jose Canseco on a 3 - 2 count with a man on in the ninth",0,1
"They miss the point ignored by most city planners in Latin America: People , not planners , make cities",0,1
"But until now the cabinet has stuck to what could be called the East German approach to state medicine: Advisers speak of better management , not of free enterprise",0,1
"Then , the Organization of Petroleum Exporting Countries began to stumble , and a plunge in oil prices launched Apex on its final slide",0,1
"The SEC suit alleges that the stock , which was unregistered , climbed to as high as $ 17 a share as a result of the claims , which were bolstered when Mr. Brown bought 209 ounces of gold , which was melted into four pieces and displayed to shareholders at an August 1987 meeting",0,1
New England Telephone says the campaign makes it the first local phone company to break with the `` reach out and touch someone '' style of advertising popularized by Ma Bell,0,1
"That implies production slowdowns , which could result in job losses and weaker consumer spending , which in turn would cause the economy to drag its heels further",0,1
"`` Things are really rapidly falling into place , '' said a Navy official who previously had complained that the Pentagon brass was dragging its feet on the project",0,1
"The current junior team members missed out on Minkey , which began last year , but they did benefit from Olympic profits in the form of a one - time $ 1.2 million payment disbursed by the U.S. Olympic Committee",0,1
"- - In Texas , another must - win state , the Democratic Party has increased its planned spending to nearly $ 5 million for the inglorious work of knocking on doors and telephoning voters",0,1
"In the 1960s , courts declared that standardized contracts `` of adhesion , '' between a large institutional or corporate seller and a small consumer , could no longer be enforced , at least not in matters touching on health and safety",0,1
"The move is aimed at cooling an overheated economy that has sparked an inflation rate of more than 20 % , the highest level since the Communist Party took power in 1949",0,1
"But being stuck is also bad for Germany , the third - biggest capitalist economy",0,1
But it 's more accurate to say that those who stuck together helped one another - - sometimes,0,1
"There was no immediate claim of responsibility , but police said the bomb was probably planted by Sinhalese extremists in retaliation for the restaurant owner 's defiance of a call for a general strike",0,1
"But even though the Sox are off to a typically lousy start this season , plenty of Chicagoans do n't want to see them strike out for Florida",0,1
"Let Jim Wright , Chris Dodd , Tony Coelho , David Bonior , Mike Lowry and David Obey explain in the papers every day why their determination to kill the Contra request represents the proudest foreign - policy achievement of the Democratic Party in 1988",0,1
"And lingering problems , particularly the prospect of surprise liabilities in its financial businesses , may be cooling the ardor of some prospective suitors",0,1
"Mr. Duberstein , a hockey fanatic and pretzel lover who recently lost more than 20 pounds by drinking vast quantities of water every day , is a veteran Washington operator",0,1
"Efficiency does n't destroy jobs , it generates the wealth to create new , and usually better , jobs",0,1
"Donald Kessler , a project scientist at NASA 's Johnson Space Center , told an international conference on space pollution that a particle could strike and damage a spacecraft",0,1
"The Agriculture Department stuck by last month 's estimates of drought damage to 1988 crop yields , predicting once again a 37 % plunge in the nation 's corn harvest and a 23 % drop in soybean production",0,1
"Britain 's North Sea section pumps about 2.5 million barrels of oil a day , while the Norwegian section pumps about 1.2 million barrels a day",0,1
"So far , no one is grabbing the first Concorde out",0,1
"While manned launches , such as that of the space shuttle last week , still grab occasional headlines , industry observers are focusing more and more on the moves of trade negotiators",0,1
"The House - passed version also includes the 4 % raise , but would require agencies to absorb only half of the cost",0,1
"Mr. Instone , 64 years old , stepped down in February from his posts as president and chief executive officer",0,1
"Economists are sticking with predictions that Britain 's gross domestic product , or output of goods and services minus foreign income , will rise just 2 % or 3 % next year after rising about 4 % this year",0,1
"Now that the Reagan Revolution has come and gone , will conservatives turn on one another as zestfully as they 've assaulted modern liberals ?/.",0,1
They have had to learn through the press about the sweet terms he had struck for himself and his small management group,0,1
"Emhart began importing door locks from Taiwan two years ago when Fred Hollfelder , now the president of the hardware group , stumbled on the product on a trip to Australia",0,1
"In Tokyo , prices were lower in moderate trading as investors stepped aside before the release of U.S. trade figures and after an early buying spree concentrated in electricals",0,1
"The Democrat poured $ 1 million - plus into the race , raising 10 times as much from political - action committees as the Republican and outspending him by better than 2 to 1",0,1
"Although stocks quickly broke out of their slide , they remained stuck at lower levels for the remainder of the session",0,1
"`` The drivers smelled anti - freeze , noticed smoke pouring from the engines , and within 10 to 15 minutes , the engines were engulfed in flames .",0,1
"Eastern Airlines Inc. is stepping up its marketing war in the busy , competitive Northeast shuttle - service market , offering discounts of as much as 30 % for passengers buying tickets in bulk",0,1
"`` If we do n't settle our disputes soon , '' he warns , `` the foreign companies may step in and dominate .",0,1
"When he steps into BG 's shoes on Saturday , it will be in a Carnegie Hall vastly different from the one Mr. Goodman first scaled in 1938",0,1
"In his own opinion , Chairman Ruder attacked both dissents as attempting to reduce the customer 's protection not only below the level set in the securities laws , but even below the standard set by common law",0,1
"For much of the Constitution 's interpretation has flowed from suits in which public officials , seeking to test matters of power and responsibility , have taken positions vindicated by history even if not by the lawsuits themselves",0,1
"It adds that it stuck with its two - week , companywide production furlough last summer to give workers and plants a break",0,1
"Asked about the resonating valence bond theory of superconductivity , one of the Enquirer 's young female sources comments , `` RVB is like . .. when you eat thallium and your boyfriend eats thorium . .. and then you kiss .",0,1
"Justin makes building products , cooling towers and boots",0,1
"So most financial advisers suggest buyers stick to insurers whose financial strength is rated A+ or A by A.M. Best Co . , Oldwick , N.J",0,1
"And the $ 300 million sunflower industry is faring far worse than the $ 10.5 billion soybean industry , which is large enough to absorb short - term setbacks",0,1
Since 1980 the proportion has been about 12 % of total net flows,0,1
"Leaders of the seven major industrial democracies kicked off their 14th annual economic summit by agreeing broadly that the world economy is in good shape , and that their own willingness to coordinate economic policies was one of the reasons",0,1
But some marketing consultants see signs that the 1980s new - product boom is cooling a bit,0,1
"It 's less clear whether Vice President Bush , who has some free - market economists among his advisers , would stick to the Reagan - era agenda or move toward the middle ground characteristic of previous Republican administrations",0,1
"It is `` Hotlanta '' : capital city of the South at a time when the South has risen ; city of myriad services at a time when the service economy rules ; city of the 1980s , more suburban than downtown , more footloose than fixed",0,1
"The FTC rule requiring the three - day cooling off period , which has been in effect since 1972 , was aimed at countering high - pressure tactics by door - to - door sales people",0,1
Their melanin - producing system keeps the skin constantly filled with the dark pigment,0,1
"London share prices finished a bumpy session little changed Monday , after the market stumbled on news of an unexpected rise in U.K. interest rates",0,1
The Fed pumped reserves into the banking system by arranging overnight repurchase agreements for its own account,0,1
"The policeman then kicked Mr. Hauke 's legs out from under him , Mr. Hauke says",0,1
But it still helps smooth the flow of nearly half the world 's mail,0,1
"For the record , this was the second straight season in which the Redskins came to Chicago to knock the home team out of the playoffs",0,1
"By joining the hostile bid , Shearson stepped over the line investment banks have long considered but rarely , if ever , crossed",0,1
"In a reminder of nature 's fickleness , the eye of this year 's drought rests just a couple of hundred miles north of here , along the Red River Valley between Minnesota and North Dakota",0,1
Mr. Kessler said: `` The market was so nervous and so short dollars that a panic set in and everybody started stepping over each other to buy their dollars back .,0,1
"The loss left the West Hartford , Conn . , toy maker - - riding high just three years ago on the success of its Cabbage Patch Kids line - - with a negative net worth - - the difference between assets and liabilities - - of $ 130.7 million",0,1
"One of the company 's managing directors , Seymour M. Lotsoff , said he is sticking to short - maturity bonds because `` I 'm not optimistic about interest rates .",0,1
He is laboriously filling out the cash - flow statement his bank requires for a spring - planting loan,0,1
"The machines , targeted at the `` fault - tolerance '' computer market catering to heavy data users such as banks and airlines , will house from two to eight special Intel - designed microprocessors that crunch data simultaneously",0,1
"As previously reported , Eastern , locked in a longstanding labor - management feud , has contracted with Orion Air , a unit of Primark Corp . , to provide pilots to fly Eastern aircraft should contract talks end in a strike",0,1
"`` People who are willing to step into the marketplace are really looking for an extra special premium , '' he said",0,1
"With so much riding on the picture , MGM UA is playing hardball with theater owners - - as is Paramount , the Gulf & Western Inc. unit that is releasing `` Crocodile Dundee II , '' and the TriStar unit of Columbia Pictures Entertainment Inc . , releasing `` Rambo III .",0,1
"But others - - including Pennsylvania 's two senators , Republicans Arlen Specter and John Heinz , Rep. Joseph McDade - LRB - R . , Pa. - RRB - and Rep. John Murtha - LRB - D . , Pa. - RRB - - - stepped in",0,1
"Critics argue that Barclays 's expansion simply will fill its loan book with bad debts nobody else wants , a contention bank officials dispute",0,1
"Until now , major manufacturers have stuck to old - fashioned toaster waffles because they could n't come up with a way to prevent microwaved ones from drying out",0,1
"Nevertheless , scientists are sticking to plans to trap and kill wild colonies in the BRZ and flood the area with European males",0,1
Since then it has rolled over debt each month except May,0,1
"The parents of a six - year - old boy who drowned in May 1987 have settled their suit against Walt Disney World for $ 250 , 000",0,1
"The only way to put the issues to rest is a comprehensive , collective - bargaining agreement .",0,1
"Highlights include a trio of Jamison works , among them the hypnotic `` Divining , '' and the divine Ms. J dancing the New York premiere of `` Scene Seen , '' a solo created for her by Garth Fagan. 175 Eighth Ave . - LRB - 212 - RRB - 242 - 0800",0,1
"President Reagan stepped up the volume of this chorus this year by attacking such purportedly porky projects as a $ 900 , 000 catfish aquaculture facility in Stutgart , Ark . ; a $ 2.4 million grant for the `` tailored clothing industry , '' and a $ 5 million gondola transportation system at an Idaho resort area",0,1
"A sales representative , who is trying out as an announcer , first talks too slowly , then stumbles when asked to speed up",0,1
"An example: Last fall , Joseph Biden 's campaign was destroyed after a leaked videotape showed similarities between his speech and one given by British Labor Party leader Neil Kinnock",0,1
"`` We 're not attacking the core assets ; we 're looking at what we consider to be our less - profitable assets , '' the spokesman said",0,1
But Western and Soviet officials indicated that Moscow is unlikely to miss the Feb. 15 deadline for withdrawing its soldiers from the country,0,1
`` They drink and become quite rowdy,0,1
"Only 3 % were eating out more often , while 81 % report no change",0,1
"This provides greatly enhanced trouble - shooting capabilities when something does go wrong , and can even be used to automatically switch in a good spare card if something does die",0,1
Investors stepped up their selling in the over - the - counter market yesterday as stock prices generally slipped,0,1
"Tax breaks targeted for Phillips Petroleum Co . , the Houston Astrodome , the Royal Worchester Corset Factory and hundreds of other public and private enterprises may not take effect if Congress fails to pass so - called `` technical corrections '' to the 1986 tax bill",0,1
"One broker , whose business failed after the crash , began abusing drugs - - mainly sleeping pills - - and contemplated divorce and suicide , says Mari Terzaghi , a clinical psychologist who treats many Wall Street professionals",0,1
The Ukrainian Autocephalous Orthodox Church was formally dissolved by Moscow in January 1930,0,1
"Ms. Ferraro 's foibles were easily eclipsed by TV 's attention to Mr. Bush 's blunders that year , from his braggadocio that he `` kicked a little ass '' to his fumbling attempts to define `` shame .",0,1
"A Nielsen spokeswoman said the ratings company is examining `` several different approaches '' to measure commercial ratings , and is running `` several test programs '' using passive meters",0,1
But other Jersey City administrators are weary of the battles and want the state to step in,0,1
Simply pouring more aid into this environment will breed more state - subsidized projects to compete with the private sector and a bigger bureaucracy to administer the projects,0,1
But even as the bonds went to market a deputy state treasurer admitted they would be used to `` help smooth over cash - flow problems '' in the operating budget,0,1
"That mandate , like Mr. Brown 's , will rest on gerrymander , dominance over political money , and liberalism cloaked in conservative rhetoric",0,1
"`` So far we 've just stood there like a featherbed and let them kick us around , '' Mr. Perot said",0,1
"Although Mr. Stoltenberg most likely will ride out the crisis , the situation is serious and stems in part from demands made by Ernst Albrecht , the state governor of Lower Saxony",0,1
"For now , he will just reseed the dry wheat fields to soybeans on the chance it will rain",0,1
"Not only did this technique let sleeping elephants lie , as the `` Peaceable Kingdom '' exhibit demonstrates , it resulted in some very striking images",0,1
The result: Some car makers are cooling their hot rods,0,1
"During 1987 , America West added 2 , 900 employees , boosted its fleet of aircraft to 69 from 46 and added 11 cities to the 34 it flew to in 1986",0,1
"While the 17 male supers who play guards and courtiers cool our heels , we are shoehorned into a room 15 feet square , reading newspapers and exchanging small talk",0,1
"If the June deficit turns out to have been significantly wider than in May , many analysts expect the dollar to drop sharply and to drag bond prices down with it",0,1
"Mr. Seow has admitted in his Statutory Declaration of May 16 that he merely lent his name to Devan Nair 's work , making minor corrections because `` I really did not have the time to bother to work on it . . .",0,1
"General Cinema has announced plans to fix up and expand the 22 - store flagship chain , an undertaking estimated at more than $ 100 million",0,1
"But party leaders ' hopes of writing a broadly worded document began to evaporate , as early versions of platform planks were cluttered with specific promises",0,1
"What they are pushing is elimination or weakening of cost - of - living clauses , greater links between compensation and corporate performance , and more emphasis on lump - sum payments that do n't step up the wage base",0,1
Incumbent Spyros Kyprianou was knocked out in voting last week,0,1
"He quashed the legislation despite the fact that first - degree murder involves killing with premeditation or with particular cruelty , such as torture",0,1
"The growing consensus in the computer industry is that midsized products are the weakest part of IBM 's business right now , and that IBM needs to fix that problem in 1988",0,1
"Industry watchers respect Genentech for pumping such a large chunk of capital into its basic science program , and for preserving its enviable scientific edge , but the investment is n't expected to yield products for several years",0,1
Big money and big media are the stuff of the Washington that Sen. Williams did n't stick around for,0,1
"At the mawkish end of the scale , where nothing is funny and everything is terribly high - minded , we find several of the public personalities who were kind enough to lend their services to `` Tanner '88 .",0,1
"Mr. Harris says the free - trade agreement gives Canadian steel producers more secure access to the huge U.S. market and reduces the threat of U.S. quotas , which he said almost struck his company four years ago",0,1
"So the Environmental Protection Agency says 20 , 000 people are killed every year by radon gas - LRB - `` EPA Radon Study Cites More Danger Than 1987 Report , '' Sept. 13 - RRB -",0,1
"`` Who said , 'No one 's eating any ' ? '' he snapped",0,1
"Vice Chairman William J. McDonough , a former State Department official and now the peacekeeper between First Chicago 's two executive camps , smooths it all over this way: `` A traumatic decision in 1986 became a no - brainer in 1987 .",0,1
"To establish their universality and effectiveness , Mr. Wildavsky examines these strategies , alone and in combinations , in evolutionary , physiological , technological and institutional forms",0,1
"Asked whether she 'll vote Labour next time , Mrs. Strangwayes - Booth groans and rolls her eyes",0,1
"`` It 's hard to give a logical explanation for why Icelanders were allowed to drink whiskey but not beer because there is no logical explanation , '' an Icelandic official said",0,1
Pravda said an Azerbaijan metalworker went on trial for murder for his part in February ethnic riots that killed at least 32 in the Soviet republic,0,1
"U.S. drug agents estimate that about 40 % of all the cocaine and marijuana pouring into America comes through the Bahamas ; of that , at times as much as half may have been run through Bimini , agents say",0,1
"Levi Strauss & Co. moved from a 13 - page booklet `` filled with details and procedures '' to a half - page statement of principles , says a spokeswoman",0,1
"Last week after months of litigation , the company was officially dissolved , and the trademark was sold for $ 8 million to a Stamford , Conn . , investment firm",0,1
Both European routes still require an agreement between Japan and the Soviet Union that would permit flying over Soviet territory,0,1
"For the first century of its existence , the republic somehow managed to stumble along , winning independence , surviving civil war , without any pledge at all",0,1
"Most of them stuck around for Gibson 's blast , too , but that game was close so they had an excuse",0,1
"The Cincinnati Dancing Pigs Jug Band played `` Coney Island Washboard Roundelay '' and I ate cold noodle salad , fried wontons and a big RC",0,1
"`` Ten years ago , it was enough to latch onto something 100 % proven , '' says Shoji Kumagai , general manager of technical development at giant Sumitomo Corp . `` Today we have to grab it at the idea stage .",0,1
"Shy at first , the girl slowly admits that she plans to sleep with her 23 - year - old boyfriend and wants birth - control pills",0,1
"If she had not been struck , as a woman , by the grotesque exudations streaming from the temporal glands and four - foot , S - shaped penises of certain adult male elephants , would she have been led to identify this `` disease '' as musth , the sexual frenzy of male estrus never before documented in African elephants ?/.",0,1
"So the Fed tightened up , trying to do it gradually , obviously hoping to cool things off without a recession",0,1
"- - Last September , 22 - year - old Kimberly Isaac of Baton Rouge , La . , was badly scraped over a large part of her body when a 1977 LTD she had just parked in a grocery - store lot backed up , knocking her over and dragging her in circles",0,1
"Mr. Bush touts `` market orientation , '' vowing to knock down trade barriers overseas and expand use of grain for alcohol - based fuels",0,1
